,id,total_ratings,price_level,name
0,41,908,$$,Grand Lux Cafe
1,49,672,$$,The Cheesecake Factory
2,11,668,$$,Maggiano’s Little Italy
3,1,1657,$$,North Italia
4,37,1206,$$,Kenny & Ziggy’s New York Delicatessen
5,5,763,$$$,Truluck’s Ocean’s Finest Seafood and Crab
6,18,663,$$,Moxie’s Grill & Bar
7,34,137,$$,Dimassi’s Mediterranean Buffet
8,26,1000,$$,True Food Kitchen
9,46,99,$,MOD Pizza
10,57,113,$,Chipotle Mexican Grill
11,12,512,$$$,The Oceanaire Seafood Room
12,20,795,$,Roostar Vietnamese Grill
13,3,862,$$,Adair Kitchen
14,6,380,$$$$,The Capital Grille
15,43,486,$$,The Burger Palace
16,4,881,$$$,Masraff’s - CLOSED
17,21,414,$$,Songkran Thai Kitchen
18,27,372,$$,Flower Child
19,52,138,$,Smashburger
20,31,177,$$$,Post Oak Grill
21,8,216,$$,Alexander The Great
22,19,364,$$,Sozo Sushi Lounge
23,39,223,$,Ekko’s Greek American Deli
24,30,295,$$$,Sage 400
25,28,358,$$$,Uptown Sushi
26,32,121,$$,Corelli’s Bistro
27,40,360,$$$,51fifteen Cuisine and Cocktails
28,13,138,$$,Cafe Ginger Uptown
29,53,23,$,Chipotle Mexican Grill
30,25,134,$$,Piatto Ristorante
31,50,94,$$,Los Tios
32,47,125,$$,7 Star Asian Cafe
33,45,20,$,Raising Cane’s Chicken Fingers
34,51,106,$,Midwest Coney Connection
35,44,66,$$,Pokeworks
36,35,295,$$,Pepper Twins
