,id,name,street,city,state,zip code,avg rating,total ratings,price level,date,hour
0,31,Grand Lux Cafe,5000 Westheimer Rd,Houston,TX,77056,4.2,2882,2,10/23/20,2100
1,37,The Cheesecake Factory,5015 Westheimer Rd,Houston,TX,77056,4.1,2681,2,10/23/20,2100
2,10,Maggiano's Little Italy,2019 Post Oak Blvd,Houston,TX,77056,4.5,2653,2,10/23/20,2100
3,0,North Italia,1700 Post Oak Blvd Ste 190,Houston,TX,77056,4.6,2193,2,10/23/20,2100
4,1,Caracol Restaurant,2200 Post Oak Blvd #160,Houston,TX,77056,4.6,2117,3,10/23/20,2100
5,51,Chick-fil-A,5325 S Rice Ave Sage Road and Westpark Toll,Houston,TX,77081,4.4,1960,1,10/23/20,2100
6,43,Whataburger,2820 Chimney Rock Rd,Houston,TX,77056,4.0,1751,1,10/23/20,2100
7,3,Truluck's,5350 Westheimer Rd,Houston,TX,77056,4.6,1519,3,10/23/20,2100
8,7,Moxie's,5000 Westheimer Rd,Houston,TX,77056,4.2,1385,2,10/23/20,2100
9,27,Dimassi's Mediterranean Buffet,5160 Richmond Ave,Houston,TX,77056,4.4,1273,2,10/23/20,2100
10,18,Peli Peli South African Kitchen - Galleria,5085 Westheimer Rd B2515,Houston,TX,77056,4.5,1203,3,10/23/20,2100
11,19,True Food Kitchen,1700 Post Oak Blvd #180,Houston,TX,77056,4.5,1203,2,10/23/20,2100
12,54,Mastro's Steakhouse,1650 W Loop S,Houston,TX,77027,4.4,1183,4,10/23/20,2100
13,26,Del Frisco's Double Eagle Steakhouse,5061 Westheimer Rd Suite 8060,Houston,TX,77056,4.5,1076,4,10/23/20,2100
14,41,La Tapatia Mexican Cafe Galería,5591 Richmond Ave,Houston,TX,77056,4.1,1050,1,10/23/20,2100
15,45,Ruchi's Mexican Grill,5201 Richmond Ave,Houston,TX,77056,3.9,1002,1,10/23/20,2100
16,38,Ruth's Chris Steak House,5433 Westheimer Rd Suite 100,Houston,TX,77056,4.4,928,4,10/23/20,2100
17,47,Taqueria Tepatitlan,5545 Southwest Fwy,Houston,TX,77056,4.0,918,1,10/23/20,2100
18,28,McCormick & Schmick's Seafood & Steaks,1151 Uptown Park Blvd Suite 01,Houston,TX,77056,4.3,904,3,10/23/20,2100
